emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
0.1,g,P48,19.5,58592.4784,4814.0,19.419574648487018,9.084891804565627,9.278400000002875,-15.417091946835459,622751262982966.2,1468374.3135562344,135242.272213198,5.331667132522687e-14,4.91064690406122e-15,33.203024405832736,3.058111561567518,0.006897179976284324,0.0006352537518835726,8.252442616837516e+37,7.600780540127536e+36,2019-04-19T11:28:53.759999997,2019 04 19
0.06,r,LT+IOO,19.41,58593.1109,6187.6,19.35023852255557,9.704200528740413,9.910900000002584,-15.486428072766905,484505233046738.6,1565205.0091373606,86496.4253164631,5.6832593881777565e-14,3.140685203240775e-15,27.53568914334129,1.5216784163226154,0.004450140465340566,0.0002459238503333466,5.324571629762517e+37,2.942467022704844e+36,2019-04-20T02:39:41.759999972,2019 04 20
0.08,i,LT+IOO,19.41,58593.1117,7658.7,19.365798537730356,9.704983844124353,9.911700000004203,-15.47086805759212,391440398501051.06,1542933.5516581822,113687.54545691164,5.6023917260708595e-14,4.1279947755404614e-15,21.930024498121686,1.615863919947815,0.0028634134380667326,0.0002109840991222812,3.4260603851397923e+37,2.524414582566504e+36,2019-04-20T02:40:50.880000112,2019 04 20
0.12,z,LT+IOO,19.46,58593.1125,9669.8,19.430916707031333,9.705767159508293,9.91250000000582,-15.405749888291144,310029636600550.2,1453114.8977817928,160604.1936979163,5.2762601938456896e-14,5.83153827317134e-15,16.357970305079277,1.8079496916535107,0.001691655494951217,0.00018696867480749455,2.024057650741996e+37,2.237071187500353e+36,2019-04-20T02:42:00.000000251,2019 04 20
0.06,r,P48,19.44,58593.4315,6421.8,19.382741357745385,10.01811416821863,10.231500000001688,-15.453925237577092,466835557008938.3,1519043.0954583609,83945.42369323087,5.5156454796093084e-14,3.0480583343012128e-15,25.74899429737244,1.4229420102892434,0.004009622582044355,0.00022157993246274305,4.797494104441632e+37,2.6511932180673884e+36,2019-04-20T10:21:21.599999894,2019 04 20
0.17,g,P48,19.78,58593.4841,4814.0,19.69957464848702,10.069617154611182,10.2841000000044,-15.137091946835458,622751262982966.2,1134584.323738131,177648.43263972228,4.119675679493154e-14,6.4504145891483156e-15,25.655332324845713,4.017003832155865,0.005329317059585731,0.0008344420091723857,6.376502189646717e+37,9.984058443380609e+36,2019-04-20T11:37:06.240000129,2019 04 20
0.2,g,LT+IOO,19.69,58594.1142,4795.5,19.609165092090457,10.68657593264127,10.914200000006531,-15.22750150323202,625153702429360.8,1233106.540498084,227146.61905794774,4.4774098485485425e-14,8.247693737994083e-15,27.990693441138045,5.156076276810455,0.005836866529274955,0.0010751905488083527,6.983782685185286e+37,1.2864603122894056e+37,2019-04-21T02:44:26.880000313,2019 04 21
0.08,r,LT+IOO,19.5,58594.115,6187.6,19.44023852255557,10.687359248018087,10.915000000000873,-15.396428072766906,484505233046738.6,1440692.2803664005,106154.13018762472,5.2311536700104e-14,3.854456467112654e-15,25.34521327991691,1.867504328866925,0.004096129885564178,0.0003018140036309595,4.900999676383989e+37,3.611190014595333e+36,2019-04-21T02:45:35.999999824,2019 04 21
0.08,i,LT+IOO,19.48,58594.1158,7658.7,19.435798537730356,10.688142563402026,10.915800000002491,-15.40086805759212,391440398501051.06,1446595.8772459202,106589.12328105922,5.2525896302799366e-14,3.870251066335261e-15,20.56075778039267,1.5149726197053923,0.0026846276496523785,0.00019781067540253469,3.2121440505409156e+37,2.3667952023440083e+36,2019-04-21T02:46:45.119999964,2019 04 21
0.16,z,LT+IOO,19.52,58594.1167,9669.8,19.49091670703133,10.689023793206289,10.916700000001583,-15.345749888291145,310029636600550.2,1374991.3160153907,202626.20846421144,4.9925934684518837e-14,7.357357629335518e-15,15.478519387184178,2.280998912163176,0.001600707293551488,0.00023588894415222406,1.9152385658788252e+37,2.822399853644722e+36,2019-04-21T02:48:02.879999885,2019 04 21
0.1,g,LT+IOO,19.82,58595.0926,4795.5,19.739165092090456,11.644570645262405,11.892600000006496,-15.09750150323202,625153702429360.8,1093957.8808862076,100757.2443556775,3.97216106549782e-14,3.65849554255465e-15,24.832111967417166,2.2871220337493523,0.005178211232909429,0.00047693087973086273,6.195704795928747e+37,5.706455001478898e+36,2019-04-22T02:13:20.640000310,2019 04 22
0.07,r,LT+IOO,19.6,58595.0935,6187.6,19.540238522555573,11.645451875066668,11.893500000005588,-15.296428072766904,484505233046738.6,1313926.9758705406,84712.00270182312,4.770868849385933e-14,3.0758928181031976e-15,23.11510923707157,1.4902861666618794,0.0037357148550442127,0.0002408504374332341,4.469764828542004e+37,2.881763881749174e+36,2019-04-22T02:14:38.400000231,2019 04 22
0.07,i,LT+IOO,19.45,58595.0943,7658.7,19.405798537730355,11.646235190443482,11.89429999999993,-15.430868057592122,391440398501051.06,1487124.138611371,95878.4364439483,5.3997477472978876e-14,3.481346027279763e-15,21.13679410007438,1.3627394762384415,0.002759840978243616,0.00017793352347505992,3.3021364358860506e+37,2.1289660370450386e+36,2019-04-22T02:15:47.519999743,2019 04 22
0.11,z,LT+IOO,19.55,58595.0951,9669.8,19.520916707031333,11.647018505827424,11.895100000001548,-15.315749888291144,310029636600550.2,1337518.9853714057,135509.0562017597,4.856531435883574e-14,4.920333830685895e-15,15.056686762061327,1.5254493094809412,0.0015570835758817482,0.0001577539669363318,1.863042997829202e+37,1.887518615139722e+36,2019-04-22T02:16:56.639999882,2019 04 22
0.11,g,LT+IOO,20.1,58596.138,4795.5,20.019165092090457,12.668168021151395,12.93800000000192,-14.81750150323202,625153702429360.8,845280.0154732076,85638.4831735129,3.069211736183217e-14,3.1095333240302533e-15,19.187290804145842,1.94393627034499,0.004001103285193586,0.00040536675432071526,4.787300806798462e+37,4.850193688301503e+36,2019-04-23T03:18:43.199999915,2019 04 23
0.06,r,LT+IOO,19.75,58596.1388,6187.6,19.69023852255557,12.668951336535335,12.938800000003539,-15.146428072766906,484505233046738.6,1144382.5558443435,63240.917130470676,4.155253060270811e-14,2.2962777010073903e-15,20.132418523346832,1.1125585626666148,0.0032536716212015694,0.0001798045385394361,3.8930024213263716e+37,2.1513526421605992e+36,2019-04-23T03:19:52.320000054,2019 04 23
0.08,i,LT+IOO,19.66,58596.1396,7658.7,19.615798537730356,12.669734651919276,12.939600000005157,-15.22086805759212,391440398501051.06,1225595.6843855085,90305.22729292503,4.4501379300037815e-14,3.278982803006108e-15,17.41963764705323,1.2835263350868045,0.002274490141545331,0.0001675906270106943,2.7214164977868806e+37,2.0052137790822834e+36,2019-04-23T03:21:01.440000194,2019 04 23
0.16,z,LT+IOO,19.71,58596.1405,9669.8,19.680916707031333,12.670615881723537,12.94050000000425,-15.155749888291144,310029636600550.2,1154250.191606567,170096.59422584335,4.191082445723445e-14,6.1762073363403724e-15,12.993597676105848,1.9148073160552577,0.0013437297230662318,0.00019801932987810065,1.607766140694067e+37,2.369291743092945e+36,2019-04-23T03:22:19.200000116,2019 04 23
0.16,i,P48,19.66,58596.3822,7883.1,19.618091958888147,12.90727504161649,13.182200000002922,-15.21857463643433,380297672235541.8,1223009.567712056,180229.35034898383,4.4407477403624756e-14,6.544127711171603e-15,16.888060286450916,2.488716535370665,0.002142312070943019,0.00031570277370205436,2.5632660730335e+37,3.777368479452368e+36,2019-04-23T09:10:22.080000001,2019 04 23
0.05,r,P48,19.68,58596.3929,6421.8,19.622741357745383,12.917751884854427,13.192900000001828,-15.213925237577094,466835557008938.3,1217783.5269694864,56081.003913873035,4.421771986426205e-14,2.0363012521127298e-15,20.64240388249797,0.9506178292680447,0.00321442646648883,0.0001480298092852541,3.846045782762582e+37,1.7711695372723474e+36,2019-04-23T09:25:46.559999906,2019 04 23
