,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
45,0.07,g,LT+IOO,19.44,58591.0676,4795.5,19.359165092090453,7.703515127783255,7.867600000005042,-15.47750150323202,625153702429360.8,1552389.15928263,100086.22782731283,5.63672503735523e-14,3.634130932409728e-15,35.238195266788985,2.2718904075090065,0.007348179598955059,0.00047375464654551277,8.792061492827854e+37,5.66845152442027e+36,2019-04-18T01:37:20.640000184,2019 04 18
46,0.09,r,LT+IOO,19.31,58591.0685,6187.6,19.25023852255557,7.704396357587518,7.868500000004133,-15.586428072766907,484505233046738.6,1716213.1650132106,142262.16660574378,6.231570002162968e-14,5.165539269454558e-15,30.192282761450343,2.50273080755916,0.004879481990020419,0.00040447520970314174,5.8382766958371855e+37,4.839526399899325e+36,2019-04-18T01:38:38.400000106,2019 04 18
47,0.06,i,LT+IOO,19.22,58591.0693,7658.7,19.175798537730355,7.7051796729714574,7.869300000005751,-15.660868057592122,391440398501051.1,1838007.2623301046,101572.03495334627,6.67380436952061e-14,3.688080589156004e-15,26.123966419232033,1.4436637355232174,0.003411018373775189,0.00018849984142520497,4.0812670528169724e+37,2.2553915223225847e+36,2019-04-18T01:39:47.520000245,2019 04 18
48,0.12,z,LT+IOO,19.1,58591.0701,9669.8,19.07091670703133,7.705962988348273,7.870100000000093,-15.765749888291145,310029636600550.2,2024416.9053058738,223746.8250317973,7.350657783165628e-14,8.12424721690456e-15,22.78921761289845,2.518757412309952,0.0023567413610310925,0.0002604766812457292,2.8198296856847005e+37,3.116590943539045e+36,2019-04-18T01:40:56.639999757,2019 04 18
49,0.15,g,P48,19.68,58591.374,4814.0,19.599574648487014,8.003524919226813,8.174000000006345,-15.237091946835461,622751262982966.2,1244046.9726647215,171871.44085452953,4.5171345577456036e-14,6.240652017427968e-15,28.130512509000773,3.8863739256904632,0.005843479956169667,0.0008073065902971465,6.991695618606904e+37,9.659384463693624e+36,2019-04-18T08:58:33.600000297,2019 04 18
50,0.05,r,P48,19.31,58591.4525,6421.8,19.25274135774539,8.080387741116546,8.252500000002327,-15.583925237577095,466835557008938.3,1712261.5130216428,78852.5567038213,6.217221553781586e-14,2.863136333915752e-15,29.024200871076037,1.3366138452360896,0.004519636374704293,0.0002081369468429552,5.407723150543632e+37,2.4903485426961128e+36,2019-04-18T10:51:35.999999950,2019 04 18
51,0.12,r,LT+IOO,19.26,58592.0472,6187.6,19.200238522555576,8.662684813476737,8.847200000003795,-15.636428072766904,484505233046738.6,1797095.7996261204,198622.36794726332,6.525254848442443e-14,7.211978180165133e-15,31.61520121033967,3.4942411689089017,0.00510944489145059,0.000564716718745378,6.113426199631388e+37,6.756808336507429e+36,2019-04-19T01:07:58.080000076,2019 04 19
52,0.13,g,LT+IOO,19.4,58592.0472,4795.5,19.319165092090454,8.662684813476737,8.847200000003795,-15.517501503232024,625153702429360.8,1610647.8651635668,192849.9957481923,5.848262398408913e-14,7.002383345616863e-15,36.560628911437455,4.377565874342076,0.007623945138450099,0.0009128486861311805,9.122013632428256e+37,1.092219055622124e+37,2019-04-19T01:07:58.080000076,2019 04 19
53,0.1,i,LT+IOO,19.27,58592.0489,7658.7,19.22579853773036,8.664349358664941,8.848900000004505,-15.61086805759212,391440398501051.1,1755283.3085788044,161667.5672125929,6.373433693449639e-14,5.870149365489247e-15,24.948194247839524,2.2978136068878032,0.0032574972577381965,0.0003000265850454781,3.897579777013761e+37,3.5898036373227767e+36,2019-04-19T01:10:24.960000138,2019 04 19
54,0.17,z,LT+IOO,19.33,58592.0497,9669.8,19.30091670703133,8.665132674048882,8.849700000006123,-15.535749888291145,310029636600550.2,1637947.4163103788,256462.90466549856,5.947387068622986e-14,9.312168068404252e-15,18.438662516079958,2.8870480822106184,0.0019068297706343422,0.00029856337072231256,2.281512635068965e+37,3.572296348431406e+36,2019-04-19T01:11:34.080000278,2019 04 19
55,0.13,r,P48,19.46,58592.388,6421.8,19.402741357745388,8.996377166358483,9.18800000000192,-15.433925237577093,466835557008938.3,1491317.4343249556,178562.03524633602,5.414973604033913e-14,6.483587499794461e-15,25.279022186278702,3.0267691818827367,0.003936438722208524,0.00047132722630457773,4.709929968686074e+37,5.639407558170081e+36,2019-04-19T09:18:43.199999915,2019 04 19
56,0.1,g,P48,19.5,58592.4784,4814.0,19.419574648487014,9.084891804565626,9.278400000002877,-15.41709194683546,622751262982966.2,1468374.3135562344,135242.272213198,5.3316671325226866e-14,4.91064690406122e-15,33.203024405832736,3.058111561567518,0.006897179976284324,0.0006352537518835727,8.252442616837516e+37,7.600780540127535e+36,2019-04-19T11:28:53.759999997,2019 04 19
57,0.06,r,LT+IOO,19.41,58593.1109,6187.6,19.35023852255557,9.704200528740412,9.910900000002584,-15.486428072766905,484505233046738.6,1565205.0091373606,86496.4253164631,5.6832593881777565e-14,3.1406852032407753e-15,27.535689143341287,1.5216784163226154,0.0044501404653405656,0.0002459238503333466,5.324571629762517e+37,2.942467022704844e+36,2019-04-20T02:39:41.759999972,2019 04 20
58,0.08,i,LT+IOO,19.41,58593.1117,7658.7,19.36579853773036,9.704983844124351,9.911700000004203,-15.47086805759212,391440398501051.1,1542933.5516581822,113687.54545691164,5.602391726070861e-14,4.1279947755404614e-15,21.930024498121686,1.6158639199478149,0.0028634134380667326,0.00021098409912228118,3.426060385139793e+37,2.524414582566504e+36,2019-04-20T02:40:50.880000112,2019 04 20
