Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
456,-5.20E-05,456,98.39445496,456,3.48E-05,456,0.000240362,456,0.001532221,456,0.000160544,657.4000244,-0.027655534
457,-5.24E-05,457,98.43994904,457,2.09E-05,457,0.002116394,457,0.000741227,457,0.000299894,657.2200317,-0.027787138
458,-7.53E-05,458,98.44285583,458,6.94E-06,458,0.006012879,458,0.000171177,458,0.000176577,657.039978,-0.027824767
459,-4.52E-05,459,98.63117218,459,1.30E-05,459,0.001784076,459,-2.24E-05,459,4.09E-05,656.8599854,-0.027698837
460,6.83E-05,460,98.32772827,460,6.51E-06,460,0.000724269,460,-6.41E-05,460,5.00E-05,656.6799927,-0.027978141
461,0.00036598,461,97.95907593,461,2.02E-05,461,0.001559141,461,-6.54E-05,461,3.66E-05,656.5,-0.027588651
462,0.000136503,462,98.17420959,462,6.37E-05,462,0.003875035,462,-4.62E-05,462,5.42E-05,656.3200073,-0.027483981
463,3.03E-05,463,98.362854,463,3.71E-05,463,0.00240385,463,0.000289216,463,0.000104723,656.1400146,-0.027472805
464,-3.68E-06,464,98.1774826,464,1.40E-05,464,0.001759803,464,0.001577692,464,7.03E-05,655.960022,-0.027685368
465,6.52E-05,465,98.27277374,465,3.36E-05,465,0.001210443,465,0.000111657,465,8.41E-05,655.7800293,-0.027460247
466,0.000189743,466,98.54803467,466,9.61E-05,466,0.000297609,466,-2.60E-05,466,0.000188866,655.5999756,-0.027212573
467,0.000153361,467,98.4040451,467,0.000239308,467,7.33E-05,467,-4.04E-06,467,0.000418624,655.4199829,-0.027413072
468,6.85E-05,468,98.4750061,468,0.000169052,468,4.33E-05,468,0.00019479,468,0.000955955,655.2399902,-0.027306357
469,4.24E-05,469,98.56761169,469,6.75E-05,469,3.27E-05,469,0.000890483,469,0.001175363,655.0599976,-0.027207462
470,0.000147336,470,98.56078339,470,7.55E-05,470,-5.33E-05,470,0.000813029,470,0.001231973,654.8800049,-0.027231107
471,0.000253152,471,98.46339417,471,0.000194274,471,-5.24E-05,471,0.000458561,471,0.001981408,654.7000122,-0.026954472
472,0.000114616,472,98.63444519,472,0.000161176,472,-8.48E-05,472,0.000755534,472,0.001497854,654.5200195,-0.0275445
473,-2.04E-06,473,98.37503815,473,5.67E-05,473,-7.26E-05,473,0.001462635,473,0.000300196,654.3400269,-0.02714034
474,-1.07E-05,474,97.91704559,474,4.71E-05,474,1.08E-05,474,0.000603805,474,9.54E-05,654.1599731,-0.027055532
475,-2.22E-05,475,97.99895477,475,0.000295428,475,0.000136664,475,0.000105812,475,3.00E-05,653.9799805,-0.027192384
476,2.11E-05,476,98.39989471,476,0.001249429,476,-5.17E-05,476,1.90E-05,476,2.79E-05,653.7999878,-0.026773453
477,0.000176465,477,98.4447937,477,0.000221496,477,-7.37E-05,477,3.55E-06,477,1.81E-05,653.6199951,-0.027214892
478,0.000351236,478,98.27345276,478,3.06E-05,478,-0.000105587,478,-5.90E-05,478,2.96E-06,653.4400024,-0.027013876
479,0.000247585,479,98.30942535,479,1.68E-05,479,-8.31E-05,479,-8.12E-05,479,7.55E-06,653.2600098,-0.026985142
480,0.000110764,480,98.24989319,480,1.81E-05,480,-7.11E-05,480,-5.13E-05,480,1.76E-05,653.0800171,-0.027228598
