,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.005,0.05,0.1,0,35.86395564,1.793197782,1.06E+45,0.973526906,85,0.11630154,0.373668482
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.1,0.1,0.1,0,717.2791129,71.72791129,1.54E+46,1.07261376,204,0.093747368,0.507644869
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.1,0.01,0.1,0,717.2791129,7.172791129,5.51E+43,3.274212136,65,0.966363285,2.094260098
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.1,0.03,0.1,0,717.2791129,21.51837339,1.23E+45,1.675808976,83,0.276725868,0.737528337
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.1,0.05,0.1,0,717.2791129,35.86395564,3.95E+45,1.325821741,112,0.155540164,0.561250026
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.01,0.1,0.1,0,71.72791129,7.172791129,8.68E+45,0.915356115,184,0.074706204,0.348758642
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.01,0.01,0.1,0,71.72791129,0.717279113,1.84E+43,1.980585929,42,0.771978177,1.02859065
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.01,0.03,0.1,0,71.72791129,2.151837339,4.16E+44,1.198959763,67,0.23905618,0.50985594
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a2.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.01,0.05,0.1,0,71.72791129,3.586395564,1.60E+45,1.045338097,89,0.140778971,0.389331769
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.2,0.1,0.1,0,1434.558226,143.4558226,1.45E+46,1.126918671,237,0.089287205,0.56677743
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.2,0.01,0.1,0,1434.558226,14.34558226,7.73E+43,3.814386631,72,0.875980034,2.342622201
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.2,0.03,0.1,0,1434.558226,43.03674677,1.37E+45,1.8163119,88,0.244719418,0.76331635
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.2,0.05,0.1,0,1434.558226,71.72791129,3.92E+45,1.410073597,120,0.129451873,0.613628115
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.02,0.1,0.1,0,143.4558226,14.34558226,1.30E+46,0.957644104,185,0.079483608,0.357929855
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.02,0.01,0.1,0,143.4558226,1.434558226,2.57E+43,2.303613971,48,0.914190006,1.314870706
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.02,0.03,0.1,0,143.4558226,4.303674677,5.89E+44,1.328624452,73,0.279513762,0.579043635
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a4.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.02,0.05,0.1,0,143.4558226,7.172791129,2.35E+45,1.114922739,92,0.153015634,0.445614002
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.1,0.1,0,2151.837339,215.1837339,1.38E+46,1.16138806,175,0.090090974,0.553482986
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.01,0.1,0,2151.837339,21.51837339,9.33E+43,4.115824179,75,0.79411243,2.413354517
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.03,0.1,0,2151.837339,64.55512016,1.40E+45,1.910553558,91,0.214679642,0.751266251
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.05,0.1,0,2151.837339,107.5918669,3.86E+45,1.479121914,128,0.119633512,0.604148113
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.03,0.1,0.1,0,215.1837339,21.51837339,1.47E+46,0.984195513,176,0.088593286,0.391207931
